name,address,city,state,zip_code,latitude,longitude,Discription,Accessible,Smooth,Elivators,Ramps,Sound,Brail,SightImpared,Bathrooms,single-entrance
Possibility Place,6003 Old Jonestown Road,Harrisburg,PA,17112,40.33954,-76.73796,"The  playground includes a large tree-house with ramps at different levels, sensory panels and musical instruments. There is an airplane and a train as well as a large kaleidoscope in a lookout tower and a recording studio and stage.",True,True,True,True,True,True,False,True,False
Freedom Playground,3500 Darby Road,Haverford,PA,19041,39.99309,-75.34216,"The playground includes activities that promote social interaction, motor skills  and sensory integration, including  a music/stage area, a sand table, a rock wall, musical instruments, climbing nets, a texture wall, tree house with rocking deck and misters.",True,True,True,True,True,True,True,True,False
Everybody's Playground,455 Samantha Lane,Horsham,PA,19044,40.176018,-75.1399239,"The  playsystem includes Poured-in-place safety surfacing,  an extensive ramping system, and  Sway Fun Glider.",True,True,True,True,True,False,False,True,False
Inspiring H.O.P.E. Playground,1060 Church Road,Manchester,PA,17404,39.9980424,-76.7730909,,True,True,True,True,True,True,False,True,True
White Oak Park,3 Muse Lane,McKeesport,PA,15131,40.3412749,-79.7780068,"The playground includes wheelchair-accessible ramps and platforms wide enough for two wheelchairs to pass one another,  specialized swings and handlebars at the slides and climbing walls.",True,True,True,False,True,False,False,True,False
Adventure Zone Playground,1775 Lambs Gap Road,Mechanicsburg,PA,17050,40.2759864,-77.0103016,,True,True,True,False,True,False,False,True,False
Manor Church,530 Central Manor Road,Mountville,PA,17554,40.029185,-76.4323415,,True,True,True,False,True,False,False,True,False
Harrison Hills Park,5200 Freeport Road,Natrona Heights,PA,15065,40.6531072,-79.7078623,"The playground includes wheelchair-accessible ramps and platforms wide enough for two wheelchairs to pass one another, specialized swings designed for different age groups as well as handlebars at the slides and climbing walls.",True,True,True,False,True,False,False,True,False
Settler's Cabin Park,1225 Greer Road,Sharpthorne,MA,Rh19 7ux,40.4348187,-80.1615477,"The playground includes wheelchair-accessible ramps and platforms wide enough for two wheelchairs to pass one another, specialized swings designed for different age groups as well as handlebars at the slides and climbing walls. The Wave Pool, Dive Pool, and Tennis Courts are all wheelchair accessible.",True,False,True,False,True,False,False,True,False
Boyce Park,100 Boyce Park Drive,Plum,PA,15239,40.478047,-79.744306,"The playground features wheelchair-accessible ramps and platforms wide enough for two wheelchairs to pass one another, specialized swings and handlebars at the slides and climbing walls.",True,True,True,False,True,False,False,True,False
Nay Aug Park,1901 Mulberry Street,Scranton,PA,18510,41.4006096,-75.6441297,"In Scranton's largest park, rock-strewn gorge and waterfalls add to the allure and have been named a National Natural Landmark. The David Wenzel accessible treehouse overlooks the gorge, rising an awesome 150 feet above.",True,True,True,False,True,False,False,True,False
Abington Community Park,Winola Road,Clarks Summit,PA,18411,41.4852324,-75.7350561,"In addition to the Boundless playground, in the park there are two handicapped accessible fishing piers.",True,True,True,False,True,False,False,True,False
South Park,Buffalo Drive,South Park,PA,15129,40.3053675,-79.9958723,"The playground includes wheelchair-accessible ramps and platforms wide enough for two wheelchairs to pass one another, specialized swings and  handlebars at the slides and climbing walls. Wheelchair-accessible facilities also include the Basketball and Sand Volleyball Courts, the Wave Pool, the Horse Show Ring, and the Picnic Complex.",True,True,True,False,True,False,False,True,False
Together Accessing Parks,1700 West 4th Street,Williamsport,PA,17701,41.2405126,-77.0423104,,True,True,True,False,True,False,False,True,False
Play for All Abilities Park,151 North A.W. Grimes Boulevard,Round Rock,TX,78665,30.5457456,-97.648882,"The 51,000 square foot park includes Retreat Pod, Sensory Pod-Sand Box, Rock Band Pod, Rolling Hill/Performance Lawn, Sensory Pod, All Abilities Playscape, All Ability Swings and Brushy Creek Village life skills area.",True,True,True,False,True,False,False,True,True
